specrunresults-4096
Trace,Phase,Read pages,Written pages,Dead written pages,New reads
specrunresults-4096/502.gcc_r_c1.log,pre-main,382,382,251,382
specrunresults-4096/502.gcc_r_c1.log,main-start,214,117,4,146
specrunresults-4096/502.gcc_r_c1.log,do_compile-start,493,528,159,301
specrunresults-4096/502.gcc_r_c1.log,parse_file-begin,39360,39311,8134,38938
specrunresults-4096/502.gcc_r_c1.log,parse_file-finish,330717,327879,327835,299217
specrunresults-4096/502.gcc_r_c1.log,finalize,67,32,24,0
specrunresults-4096/502.gcc_r_c1.log,do_compile-finish,25,11,11,0
specrunresults-4096/502.gcc_r_c2.log,pre-main,381,381,252,381
specrunresults-4096/502.gcc_r_c2.log,main-start,212,117,7,146
specrunresults-4096/502.gcc_r_c2.log,do_compile-start,491,528,160,301
specrunresults-4096/502.gcc_r_c2.log,parse_file-begin,39409,39362,8112,38990
specrunresults-4096/502.gcc_r_c2.log,parse_file-finish,354390,351569,351526,322819
specrunresults-4096/502.gcc_r_c2.log,finalize,66,31,23,0
specrunresults-4096/502.gcc_r_c2.log,do_compile-finish,25,11,11,0
specrunresults-4096/502.gcc_r_c3.log,pre-main,380,380,252,380
specrunresults-4096/502.gcc_r_c3.log,main-start,212,118,9,146
specrunresults-4096/502.gcc_r_c3.log,do_compile-start,492,530,160,301
specrunresults-4096/502.gcc_r_c3.log,parse_file-begin,28204,28112,6373,27792
specrunresults-4096/502.gcc_r_c3.log,parse_file-finish,303218,300828,300782,281154
specrunresults-4096/502.gcc_r_c3.log,finalize,70,35,27,0
specrunresults-4096/502.gcc_r_c3.log,do_compile-finish,25,11,11,0
specrunresults-4096/502.gcc_r_c4.log,pre-main,380,380,260,380
specrunresults-4096/502.gcc_r_c4.log,main-start,210,118,13,145
specrunresults-4096/502.gcc_r_c4.log,do_compile-start,492,530,192,301
specrunresults-4096/502.gcc_r_c4.log,parse_file-begin,28214,28127,6568,27820
specrunresults-4096/502.gcc_r_c4.log,parse_file-finish,323793,324048,324012,301954
specrunresults-4096/502.gcc_r_c4.log,finalize,60,25,17,0
specrunresults-4096/502.gcc_r_c4.log,do_compile-finish,25,11,11,0
specrunresults-4096/502.gcc_r_c5.log,pre-main,381,381,258,381
specrunresults-4096/502.gcc_r_c5.log,main-start,212,117,15,145
specrunresults-4096/502.gcc_r_c5.log,do_compile-start,492,535,193,302
specrunresults-4096/502.gcc_r_c5.log,parse_file-begin,28207,28134,6561,27811
specrunresults-4096/502.gcc_r_c5.log,parse_file-finish,328862,329334,329300,307009
specrunresults-4096/502.gcc_r_c5.log,finalize,58,23,15,0
specrunresults-4096/502.gcc_r_c5.log,do_compile-finish,25,11,11,0
specrunresults-4096/505.mcf_r_c1.log,pre-main,103,103,58,103
specrunresults-4096/505.mcf_r_c1.log,main-start,34,10,0,2
specrunresults-4096/505.mcf_r_c1.log,read-start,3657,3626,0,3622
